,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"East (E12000006)",7598,0.00,,
,,,,,"London (E12000007)",57027,0.00,,
,,,,,"South East (E12000008)",36583,0.00,,
,,,,,"South West (E12000009)",32574,0.00,,
,,,,,"Wales (W92000004)",40064,0.00,,
,,,,,"Scotland (S92000003)",30943,0.00,,
,,,,,"Northern Ireland (N92000002)",32189,0.00,,
"2007-08 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",468719,0.00,,
,,,,,"North West (E12000002)",1423495,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1052591,0.00,,
,,,,,"East Midlands (E12000004)",1120139,0.00,,
,,,,,"West Midlands (E12000005)",1116821,0.00,,
,,,,,"East (E12000006)",1273693,0.00,,
,,,,,"London (E12000007)",1371991,0.00,,
,,,,,"South East (E12000008)",1935238,0.00,,
,,,,,"South West (E12000009)",1155756,0.00,,
,,,,,"Wales (W92000004)",691944,0.00,,
,,,,,"Scotland (S92000003)",1029748,0.00,,
,,,,,"Northern Ireland (N92000002)",386084,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",924272,0.00,,
,,,,,"North West (E12000002)",2526184,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1954774,0.00,,
,,,,,"East Midlands (E12000004)",1531510,0.00,,
,,,,,"West Midlands (E12000005)",1884119,0.00,,
,,,,,"East (E12000006)",2111103,0.00,,
,,,,,"London (E12000007)",2198514,0.00,,
,,,,,"South East (E12000008)",3163207,0.00,,
,,,,,"South West (E12000009)",2000009,0.00,,
,,,,,"Wales (W92000004)",978686,0.00,,
,,,,,"Scotland (S92000003)",2012080,0.00,,
,,,,,"Northern Ireland (N92000002)",699750,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",181065,0.00,,
,,,,,"North West (E12000002)",370994,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",214775,0.00,,
,,,,,"East Midlands (E12000004)",152675,0.00,,
,,,,,"West Midlands (E12000005)",273835,0.00,,
,,,,,"East (E12000006)",297604,0.00,,
,,,,,"London (E12000007)",538268,0.00,,
,,,,,"South East (E12000008)",370800,0.00,,
,,,,,"South West (E12000009)",183449,0.00,,
,,,,,"Wales (W92000004)",142315,0.00,,
,,,,,"Scotland (S92000003)",400696,0.00,,
,,,,,"Northern Ireland (N92000002)",55574,0.00,,
,,,,"All rented privately","North East (E12000001)",108836,0.00,,
,,,,,"North West (E12000002)",417052,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",321153,0.00,,
,,,,,"East Midlands (E12000004)",264344,0.00,,
,,,,,"West Midlands (E12000005)",379689,0.00,,
,,,,,"East (E12000006)",453693,0.00,,
,,,,,"London (E12000007)",978236,0.00,,
,,,,,"South East (E12000008)",730035,0.00,,
,,,,,"South West (E12000009)",411813,0.00,,
,,,,,"Wales (W92000004)",151620,0.00,,
,,,,,"Scotland (S92000003)",301177,0.00,,
,,,,,"Northern Ireland (N92000002)",105932,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",2316,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",938,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",3156,0.00,,
,,,,,"South East (E12000008)",3662,0.00,,
,,,,,"South West (E12000009)",2104,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",687,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",134186,0.00,,
,,,,,"North West (E12000002)",270623,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",224566,0.00,,
,,,,,"East Midlands (E12000004)",162591,0.00,,
,,,,,"West Midlands (E12000005)",210098,0.00,,
,,,,,"East (E12000006)",168956,0.00,,
,,,,,"London (E12000007)",268087,0.00,,
,,,,,"South East (E12000008)",213162,0.00,,
,,,,,"South West (E12000009)",142802,0.00,,
,,,,,"Wales (W92000004)",101507,0.00,,
,,,,,"Scotland (S92000003)",255381,0.00,,
,,,,,"Northern Ireland (N92000002)",58650,0.00,,
,,,,"All rented privately","North East (E12000001)",10227,0.00,,
,,,,,"North West (E12000002)",56110,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",24255,0.00,,
,,,,,"East Midlands (E12000004)",15113,0.00,,
,,,,,"West Midlands (E12000005)",44118,0.00,,
,,,,,"East (E12000006)",45074,0.00,,
,,,,,"London (E12000007)",65425,0.00,,
,,,,,"South East (E12000008)",66703,0.00,,
,,,,,"South West (E12000009)",62544,0.00,,
,,,,,"Wales (W92000004)",21161,0.00,,
,,,,,"Scotland (S92000003)",17287,0.00,,
,,,,,"Northern Ireland (N92000002)",25732,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1972,0.00,,
,,,,,"London (E12000007)",6644,0.00,,
,,,,,"South East (E12000008)",2654,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",26615,0.00,,
,,,,,"North West (E12000002)",108142,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",79265,0.00,,
,,,,,"East Midlands (E12000004)",54848,0.00,,
,,,,,"West Midlands (E12000005)",71401,0.00,,
,,,,,"East (E12000006)",175871,0.00,,
,,,,,"London (E12000007)",174075,0.00,,
,,,,,"South East (E12000008)",197722,0.00,,
,,,,,"South West (E12000009)",108714,0.00,,
,,,,,"Wales (W92000004)",57023,0.00,,
,,,,,"Scotland (S92000003)",54625,0.00,,
,,,,,"Northern Ireland (N92000002)",34152,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",11199,0.00,,
,,,,,"North West (E12000002)",41936,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",28578,0.00,,
,,,,,"East Midlands (E12000004)",22368,0.00,,
,,,,,"West Midlands (E12000005)",38312,0.00,,
,,,,,"East (E12000006)",47780,0.00,,
,,,,,"London (E12000007)",86772,0.00,,
,,,,,"South East (E12000008)",70897,0.00,,
,,,,,"South West (E12000009)",9194,0.00,,
,,,,,"Wales (W92000004)",19424,0.00,,
,,,,,"Scotland (S92000003)",12898,0.00,,
,,,,,"Northern Ireland (N92000002)",3466,0.00,,
,,,,"All rented privately","North East (E12000001)",18242,0.00,,
,,,,,"North West (E12000002)",56677,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",86744,0.00,,
,,,,,"East Midlands (E12000004)",29205,0.00,,
,,,,,"West Midlands (E12000005)",59418,0.00,,
,,,,,"East (E12000006)",55490,0.00,,
,,,,,"London (E12000007)",147365,0.00,,
,,,,,"South East (E12000008)",164826,0.00,,
,,,,,"South West (E12000009)",100005,0.00,,
,,,,,"Wales (W92000004)",58389,0.00,,
,,,,,"Scotland (S92000003)",69615,0.00,,
,,,,,"Northern Ireland (N92000002)",14261,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",2268,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1138,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",33566,0.00,,
,,,,,"North West (E12000002)",59501,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",36366,0.00,,
,,,,,"East Midlands (E12000004)",23595,0.00,,
,,,,,"West Midlands (E12000005)",42754,0.00,,
,,,,,"East (E12000006)",59989,0.00,,
,,,,,"London (E12000007)",254406,0.00,,
,,,,,"South East (E12000008)",154813,0.00,,
,,,,,"South West (E12000009)",39335,0.00,,
,,,,,"Wales (W92000004)",33841,0.00,,
,,,,,"Scotland (S92000003)",33332,0.00,,
,,,,,"Northern Ireland (N92000002)",3708,0.00,,
,,,,"All rented privately","North East (E12000001)",10743,0.00,,
,,,,,"North West (E12000002)",44081,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",37262,0.00,,
,,,,,"East Midlands (E12000004)",37409,0.00,,
,,,,,"West Midlands (E12000005)",56940,0.00,,
,,,,,"East (E12000006)",81198,0.00,,
,,,,,"London (E12000007)",143924,0.00,,
,,,,,"South East (E12000008)",66720,0.00,,
,,,,,"South West (E12000009)",56723,0.00,,
,,,,,"Wales (W92000004)",31722,0.00,,
,,,,,"Scotland (S92000003)",31998,0.00,,
,,,,,"Northern Ireland (N92000002)",9661,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",41695,0.00,,
,,,,,"North West (E12000002)",106990,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",103448,0.00,,
,,,,,"East Midlands (E12000004)",105977,0.00,,
,,,,,"West Midlands (E12000005)",116267,0.00,,
,,,,,"East (E12000006)",94077,0.00,,
,,,,,"London (E12000007)",62974,0.00,,
,,,,,"South East (E12000008)",97433,0.00,,
,,,,,"South West (E12000009)",92080,0.00,,
,,,,,"Wales (W92000004)",73537,0.00,,
,,,,,"Scotland (S92000003)",87400,0.00,,
,,,,,"Northern Ireland (N92000002)",37464,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",2845,0.00,,
,,,,,"North West (E12000002)",2775,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",6197,0.00,,
,,,,,"East Midlands (E12000004)",9015,0.00,,
,,,,,"West Midlands (E12000005)",8944,0.00,,
,,,,,"East (E12000006)",5061,0.00,,
,,,,,"London (E12000007)",1325,0.00,,
,,,,,"South East (E12000008)",886,0.00,,
,,,,,"South West (E12000009)",12537,0.00,,
,,,,,"Wales (W92000004)",6611,0.00,,
,,,,,"Scotland (S92000003)",6494,0.00,,
,,,,,"Northern Ireland (N92000002)",5270,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",2099,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",883,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",784,0.00,,
,,,,,"Northern Ireland (N92000002)",515,0.00,,
,,,,"All rented privately","North East (E12000001)",1219,0.00,,
,,,,,"North West (E12000002)",4812,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",3829,0.00,,
,,,,,"East Midlands (E12000004)",5806,0.00,,
,,,,,"West Midlands (E12000005)",3551,0.00,,
,,,,,"East (E12000006)",3973,0.00,,
,,,,,"London (E12000007)",10798,0.00,,
,,,,,"South East (E12000008)",15514,0.00,,
,,,,,"South West (E12000009)",7696,0.00,,
,,,,,"Wales (W92000004)",5644,0.00,,
,,,,,"Scotland (S92000003)",9877,0.00,,
,,,,,"Northern Ireland (N92000002)",4015,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",5887,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1824,0.00,,
,,,,,"East Midlands (E12000004)",3044,0.00,,
,,,,,"West Midlands (E12000005)",4782,0.00,,
,,,,,"East (E12000006)",829,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",9778,0.00,,
,,,,,"South West (E12000009)",960,0.00,,
,,,,,"Wales (W92000004)",974,0.00,,
,,,,,"Scotland (S92000003)",4483,0.00,,
,,,,,"Northern Ireland (N92000002)",4134,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",74524,0.00,,
,,,,,"North West (E12000002)",269627,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",245160,0.00,,
,,,,,"East Midlands (E12000004)",186638,0.00,,
,,,,,"West Midlands (E12000005)",269764,0.00,,
,,,,,"East (E12000006)",186021,0.00,,
,,,,,"London (E12000007)",292955,0.00,,
,,,,,"South East (E12000008)",263971,0.00,,
,,,,,"South West (E12000009)",211338,0.00,,
,,,,,"Wales (W92000004)",162594,0.00,,
,,,,,"Scotland (S92000003)",159536,0.00,,
,,,,,"Northern Ireland (N92000002)",71614,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",140273,0.00,,
,,,,,"North West (E12000002)",313439,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",195534,0.00,,
,,,,,"East Midlands (E12000004)",189881,0.00,,
,,,,,"West Midlands (E12000005)",268442,0.00,,
,,,,,"East (E12000006)",236902,0.00,,
,,,,,"London (E12000007)",247086,0.00,,
,,,,,"South East (E12000008)",232208,0.00,,
,,,,,"South West (E12000009)",162155,0.00,,
,,,,,"Wales (W92000004)",126957,0.00,,
,,,,,"Scotland (S92000003)",136277,0.00,,
,,,,,"Northern Ireland (N92000002)",80951,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",74895,0.00,,
,,,,,"North West (E12000002)",176330,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",127131,0.00,,
,,,,,"East Midlands (E12000004)",110779,0.00,,
,,,,,"West Midlands (E12000005)",117098,0.00,,
,,,,,"East (E12000006)",72642,0.00,,
,,,,,"London (E12000007)",179976,0.00,,
,,,,,"South East (E12000008)",116576,0.00,,
,,,,,"South West (E12000009)",93328,0.00,,
,,,,,"Wales (W92000004)",53788,0.00,,
,,,,,"Scotland (S92000003)",109316,0.00,,
,,,,,"Northern Ireland (N92000002)",20791,0.00,,
,,,,"All rented privately","North East (E12000001)",42071,0.00,,
,,,,,"North West (E12000002)",83333,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",70593,0.00,,
,,,,,"East Midlands (E12000004)",99199,0.00,,
,,,,,"West Midlands (E12000005)",87572,0.00,,
,,,,,"East (E12000006)",60208,0.00,,
,,,,,"London (E12000007)",179479,0.00,,
,,,,,"South East (E12000008)",134495,0.00,,
,,,,,"South West (E12000009)",86464,0.00,,
,,,,,"Wales (W92000004)",58179,0.00,,
,,,,,"Scotland (S92000003)",75263,0.00,,
,,,,,"Northern Ireland (N92000002)",27104,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",3548,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1828,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1014,0.00,,
,,,,,"Northern Ireland (N92000002)",2112,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",180243,0.00,,
,,,,,"North West (E12000002)",368259,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",187307,0.00,,
,,,,,"East Midlands (E12000004)",146200,0.00,,
,,,,,"West Midlands (E12000005)",248643,0.00,,
,,,,,"East (E12000006)",104230,0.00,,
,,,,,"London (E12000007)",329649,0.00,,
,,,,,"South East (E12000008)",142623,0.00,,
,,,,,"South West (E12000009)",93887,0.00,,
,,,,,"Wales (W92000004)",147532,0.00,,
,,,,,"Scotland (S92000003)",237280,0.00,,
,,,,,"Northern Ireland (N92000002)",61390,0.00,,
,,,,"All rented privately","North East (E12000001)",30529,0.00,,
,,,,,"North West (E12000002)",94400,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",69681,0.00,,
,,,,,"East Midlands (E12000004)",55498,0.00,,
,,,,,"West Midlands (E12000005)",50575,0.00,,
,,,,,"East (E12000006)",12794,0.00,,
,,,,,"London (E12000007)",13761,0.00,,
,,,,,"South East (E12000008)",44878,0.00,,
,,,,,"South West (E12000009)",38598,0.00,,
,,,,,"Wales (W92000004)",28229,0.00,,
,,,,,"Scotland (S92000003)",29945,0.00,,
,,,,,"Northern Ireland (N92000002)",24151,0.00,,
"2008-09 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",436956,0.00,,
,,,,,"North West (E12000002)",1599512,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",981624,0.00,,
,,,,,"East Midlands (E12000004)",1093129,0.00,,
,,,,,"West Midlands (E12000005)",1228983,0.00,,
,,,,,"East (E12000006)",1228610,0.00,,
,,,,,"London (E12000007)",1257773,0.00,,
,,,,,"South East (E12000008)",1930791,0.00,,
,,,,,"South West (E12000009)",1235580,0.00,,
,,,,,"Wales (W92000004)",754467,0.00,,
,,,,,"Scotland (S92000003)",1074650,0.00,,
,,,,,"Northern Ireland (N92000002)",413719,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",998157,0.00,,
,,,,,"North West (E12000002)",2420256,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1940413,0.00,,
,,,,,"East Midlands (E12000004)",1576251,0.00,,
,,,,,"West Midlands (E12000005)",1782075,0.00,,
,,,,,"East (E12000006)",2226200,0.00,,
,,,,,"London (E12000007)",2077756,0.00,,
,,,,,"South East (E12000008)",3350902,0.00,,
,,,,,"South West (E12000009)",1824844,0.00,,
,,,,,"Wales (W92000004)",1071587,0.00,,
,,,,,"Scotland (S92000003)",1997572,0.00,,
,,,,,"Northern Ireland (N92000002)",630309,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",135105,0.00,,
,,,,,"North West (E12000002)",362118,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",298915,0.00,,
,,,,,"East Midlands (E12000004)",190842,0.00,,
,,,,,"West Midlands (E12000005)",288286,0.00,,
,,,,,"East (E12000006)",294994,0.00,,
,,,,,"London (E12000007)",507626,0.00,,
,,,,,"South East (E12000008)",384301,0.00,,
,,,,,"South West (E12000009)",222995,0.00,,
,,,,,"Wales (W92000004)",119282,0.00,,
,,,,,"Scotland (S92000003)",388144,0.00,,
,,,,,"Northern Ireland (N92000002)",77100,0.00,,
,,,,"All rented privately","North East (E12000001)",111072,0.00,,
,,,,,"North West (E12000002)",415343,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",331921,0.00,,
,,,,,"East Midlands (E12000004)",247524,0.00,,
,,,,,"West Midlands (E12000005)",351270,0.00,,
,,,,,"East (E12000006)",393196,0.00,,
,,,,,"London (E12000007)",1046825,0.00,,
,,,,,"South East (E12000008)",761172,0.00,,
,,,,,"South West (E12000009)",541817,0.00,,
,,,,,"Wales (W92000004)",193471,0.00,,
,,,,,"Scotland (S92000003)",321788,0.00,,
,,,,,"Northern Ireland (N92000002)",147386,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",7097,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",996,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1187,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1409,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1201,0.00,,
,,,,,"North West (E12000002)",2398,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",3399,0.00,,
,,,,,"West Midlands (E12000005)",963,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",2232,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1462,0.00,,
,,,,,"Northern Ireland (N92000002)",257,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",135388,0.00,,
,,,,,"North West (E12000002)",312786,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",191900,0.00,,
,,,,,"East Midlands (E12000004)",151051,0.00,,
,,,,,"West Midlands (E12000005)",203823,0.00,,
,,,,,"East (E12000006)",163040,0.00,,
,,,,,"London (E12000007)",320138,0.00,,
,,,,,"South East (E12000008)",215068,0.00,,
,,,,,"South West (E12000009)",151900,0.00,,
,,,,,"Wales (W92000004)",120314,0.00,,
,,,,,"Scotland (S92000003)",236334,0.00,,
,,,,,"Northern Ireland (N92000002)",61516,0.00,,
,,,,"All rented privately","North East (E12000001)",26338,0.00,,
,,,,,"North West (E12000002)",85172,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",45846,0.00,,
,,,,,"East Midlands (E12000004)",25765,0.00,,
,,,,,"West Midlands (E12000005)",33603,0.00,,
,,,,,"East (E12000006)",27349,0.00,,
,,,,,"London (E12000007)",49213,0.00,,
,,,,,"South East (E12000008)",78887,0.00,,
,,,,,"South West (E12000009)",28193,0.00,,
,,,,,"Wales (W92000004)",32086,0.00,,
,,,,,"Scotland (S92000003)",32230,0.00,,
,,,,,"Northern Ireland (N92000002)",28646,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2074,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",1062,0.00,,
,,,,,"South East (E12000008)",2676,0.00,,
,,,,,"South West (E12000009)",2920,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",624,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",39873,0.00,,
,,,,,"North West (E12000002)",124856,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",49495,0.00,,
,,,,,"East Midlands (E12000004)",57827,0.00,,
,,,,,"West Midlands (E12000005)",86247,0.00,,
,,,,,"East (E12000006)",88416,0.00,,
,,,,,"London (E12000007)",148732,0.00,,
,,,,,"South East (E12000008)",166362,0.00,,
,,,,,"South West (E12000009)",93110,0.00,,
,,,,,"Wales (W92000004)",26118,0.00,,
,,,,,"Scotland (S92000003)",57325,0.00,,
,,,,,"Northern Ireland (N92000002)",19876,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",24393,0.00,,
,,,,,"North West (E12000002)",32906,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",27049,0.00,,
,,,,,"East Midlands (E12000004)",20590,0.00,,
,,,,,"West Midlands (E12000005)",25292,0.00,,
,,,,,"East (E12000006)",54061,0.00,,
,,,,,"London (E12000007)",148378,0.00,,
,,,,,"South East (E12000008)",46460,0.00,,
,,,,,"South West (E12000009)",17636,0.00,,
,,,,,"Wales (W92000004)",18362,0.00,,
,,,,,"Scotland (S92000003)",24183,0.00,,
,,,,,"Northern Ireland (N92000002)",3964,0.00,,
,,,,"All rented privately","North East (E12000001)",32703,0.00,,
,,,,,"North West (E12000002)",77923,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",67326,0.00,,
